ID,Name,Grade,Feet,Climb Type,Send Type,Date,Send,Trip ID,Location,Area,Partners,Notes
OID-043,Pistol Pete,5.10A/B,80,Sport,Follow,9-9-2019,n,TID-009,Holcomb Valley Pinnacles,Doc Holliday Wall,"Amanda, Enrico, Adelaide",Bottom slab was really fun! Didn't escape the route this time. Got stuck/pumped at the same part. Just need to find an unchalked hand that allows you to pistol squat up to a jug.
OID-044,Coyotes at Sunset,5.8,70,Sport,Lead,9-9-2019,y,TID-009,Holcomb Valley Pinnacles,Coyote Crag,"Amanda, Enrico, Adelaide",Good re-intro to lead head.
OID-045,Bye Crackie,5.7,60,Sport,TR,9-9-2019,y,TID-009,Holcomb Valley Pinnacles,Coyote Crag,"Amanda, Enrico, Adelaide",Was able to try out some dihedral action via TR
OID-046,Claim Jumper,5.10A,80,Sport,TR,9-9-2019,y,TID-009,Holcomb Valley Pinnacles,Claim Jumper Wall,"Amanda, Enrico, Adelaide","Felt so much more solid on this one. It felt like my body was ready to crush. Worked my way around the crux again, but dialing in the sequence for sure."
OID-047,Skyline Pillar,5.7,40,Sport,Lead,9-15-2019,y,TID-010,Holcomb Valley Pinnacles,Doc Holliday Wall,Ann,
OID-048,Skyline Pillar,5.7,40,Sport,Lead,9-15-2019,y,TID-010,Holcomb Valley Pinnacles,Doc Holliday Wall,Ann,
OID-049,Skyline Pillar,5.7,40,Sport,TR,9-15-2019,y,TID-010,Holcomb Valley Pinnacles,Doc Holliday Wall,Ann,Approach shoe send
OID-050,Bacon Taco,5.10A,40,Sport,TR,9-15-2019,n,TID-010,Holcomb Valley Pinnacles,Gunsmoke Wall,Ann,Got yucked up on bad beta trying to follow chalk. Just use flakes!
OID-051,Quick on the Draw,5.10D,60,Sport,TR,9-15-2019,n,TID-010,Holcomb Valley Pinnacles,Doc Holliday Wall,Ann,"Start right foot on dish, work left foot to starting rail. Use bad sidepull to cross feet and make your way to a knob. Use the knob to work back right to a worse knob. Not bad climbing after that section."
OID-052,Coyotes at Sunset,5.8,70,Sport,Lead,9-21-2019,y,TID-011,Holcomb Valley Pinnacles,Coyote Crag,Ann,
OID-053,Golden Poodle,5.9+,75,Sport,Lead,9-21-2019,n,TID-011,Holcomb Valley Pinnacles,Coyote Crag,Ann,
OID-054,Bye Crackie,5.7,60,Sport,TR,9-21-2019,y,TID-011,Holcomb Valley Pinnacles,Coyote Crag,Ann,Just needed to find the beta! Scary lead over the crux.
OID-055,Claim Jumper,5.10A,80,Sport,Lead,9-22-2019,n,TID-012,Holcomb Valley Pinnacles,Claim Jumper Wall,Ann,"Deciding that the best way forward is just to use the crack on the left. I was able to use the crux to clip the crux-bolt, but it was a close call. I couldn't progress further from that point."
OID-056,Bum Steer,5.10A,60,Sport,Lead,9-22-2019,n,TID-012,Holcomb Valley Pinnacles,Claim Jumper Wall,Ann,Could have gotten the send if I went left instead of right. This crag is too zig-zaggy
OID-057,Lady Luck,5.9,40,Sport,Lead,9-22-2019,y,TID-012,Holcomb Valley Pinnacles,Claim Jumper Wall,Ann,Fun lead! Kinda scary topout.
OID-058,Bye Crackie,5.7,60,Sport,Lead,10-3-2019,y,TID-013,Holcomb Valley Pinnacles,Coyote Crag,"Louven, Ellen",
OID-059,Coyotes at Sunset,5.8,70,Sport,Lead,9-21-2019,y,TID-013,Holcomb Valley Pinnacles,Coyote Crag,"Louven, Ellen",
OID-060,Gold Standard,5.6,80,Sport,Lead,9-21-2019,y,TID-013,Holcomb Valley Pinnacles,Gold Wall,"Louven, Ellen",Great easy lead. Fun for beginner leaders
OID-061,Gold Standard,5.6,80,Sport,TR,9-22-2019,y,TID-013,Holcomb Valley Pinnacles,Gold Wall,"Louven, Ellen",
OID-062,Pistol Pete,5.10A/B,80,Sport,Lead,9-22-2019,n,TID-013,Holcomb Valley Pinnacles,Doc Holliday Wall,"Louven, Ellen",
OID-063,Claim Jumper,5.10A,80,Sport,TR,9-22-2019,n,TID-013,Holcomb Valley Pinnacles,Claim Jumper Wall,"Louven, Ellen",
OID-064,Fever Pitch,5.3,30,Sport,Free Solo,9-22-2019,y,TID-013,Holcomb Valley Pinnacles,Claim Jumper Wall,"Louven, Ellen",
OID-065,Bacon Taco,5.10A,40,Sport,TR,9-22-2019,n,TID-013,Holcomb Valley Pinnacles,Gunsmoke Wall,"Louven, Ellen",Almost able to send this and perhaps lead it! Just need to lock down beta from below
OID-066,University of Santa Clara Practice Climb 1,5.8,70,Sport,Lead,10-6-2019,y,TID-014,Castle Rock,Summit Rock,"Louven, Phoebe, Elizabeth, Ann",So much bird poop. High sand to stemming ratio. Good vertical but not my favorite asthetic.
OID-067,University of Santa Clara Practice Climb 2,5.7,40,Sport,Lead,10-6-2019,y,TID-014,Castle Rock,Summit Rock,"Louven, Phoebe, Elizabeth, Ann",Strange start if you don't know how to progress up. Move around the outside to the left and stem your way up between the spire and the wall.
OID-068,Wide Crack,5.7,40,Sport,TR,10-6-2019,n,TID-014,Castle Rock,Summit Rock,"Louven, Phoebe, Elizabeth, Ann",Fun little opportunity to heel-toe cam your way up a decent crack.
OID-069,Bolt Filcher,5.10D,50,Sport,TR,10-6-2019,n,TID-014,Castle Rock,Summit Rock,"Louven, Phoebe, Elizabeth, Ann","Boulder move to start, slab your way up some bad feet and over a menacing bulge."
OID-070,Organ Grinder,5.8+,40,Sport,Lead,10-11-2019,y,TID-015,Pinnacles NP,Upper Crust,Phoebe,
OID-071,Sound Chaser,5.10A,60,Sport,Lead,10-11-2019,n,TID-015,Pinnacles NP,Upper Crust,Phoebe,"Fun problem with switchbacks. Crux is at bottom, but also getting to the right. Needs drag protection."
OID-072,Wee Little One,5.8,50,Sport,Lead,10-11-2019,y,TID-015,Pinnacles NP,Tourist Trap,Phoebe,We found the anchors before we found the climb. Fun and short.
OID-073,Gimpenator,5.8,83,Sport,Lead,10-25-2019,y,TID-016,Pine Creek Canyon,Mustache Wall,Ann,Weird clip placements but apparently a good warmup.
OID-074,Becky Route,5.9+,100,Sport,TR,10-25-2019,y,TID-016,Pine Creek Canyon,Mustache Wall,Ann,Super solid flow!!! Need to lead and clean up.
OID-075,Badassitude,5.8,100,Sport,Lead,10-26-2019,y,TID-016,Owens River Gorge,Triple Play Cliff,Ann,"Great beginner lead, give 'em a scare."
OID-076,Bill's Little Black Book,5.8,100,Sport,Lead,10-26-2019,y,TID-016,Owens River Gorge,Triple Play Cliff,Ann,Use a hand jam to get you past the weird start. Much better than lieback. Thought provoking.
OID-077,Gorgeous,5.10B,80,Sport,TR,10-26-2019,n,TID-016,Owens River Gorge,Gorgeous Towers,Ann,Slick at the bottom! Fell at second bolt on TR.
OID-078,Hot Pink Socks,5.9+,115,Sport,TR,10-26-2019,n,TID-016,Owens River Gorge,All You Can Eat,Ann,Balancy crux is impossible. No idea how to do it. Had to cheat by pulling on the hangar.
OID-079,P.D. Time,5.7,40,Sport,Lead,10-27-2019,n,TID-016,Owens River Gorge,Lower Elbow Room,Ann,Go left! You'll be grateful.
OID-080,P.D. Time,5.7,40,Sport,Lead,10-27-2019,y,TID-016,Owens River Gorge,Lower Elbow Room,Ann,Confidence boost.
OID-081,Pet Trackers,5.10A,40,Sport,TR,10-27-2019,y,TID-016,Owens River Gorge,Lower Elbow Room,Ann,Bouldery start is a confidence booster.
OID-082,Slip 'N Slide,5.9,115,Sport,Lead,10-27-2019,y,TID-016,Owens River Gorge,Lower Elbow Room,Ann,Most fun moderate in the Upper Gorge. Wild ride the whole way up.
OID-083,Imprisoned Behind Lies,5.6,85,Sport,Lead,10-28-2019,y,TID-016,Owens River Gorge,Negress Wall,Ann,Slippery bottom. Traverse at the top. Bad time cleaning via lowering.
OID-084,High Seas,5.8,75,Sport,Lead,10-28-2019,y,TID-016,Owens River Gorge,Warm Up Wall,Ann,"Sustained climbing, great holds all the way up."
OID-085,Coyotes at Sunset,5.8,70,Sport,Lead,11-1-2019,y,TID-017,Holcomb Valley Pinnacles,Coyote Crag,Ann,
OID-086,Pistol Pete,5.10A/B,80,Sport,Lead,11-1-2019,n,TID-017,Holcomb Valley Pinnacles,Doc Holliday Wall,Ann,So close to sending!!!!! Just gotta remember the beta going up to the last bolt.
OID-087,One Armed Bandit,5.10A,65,Sport,Lead,11-1-2019,n,TID-017,Holcomb Valley Pinnacles,Claim Jumper Wall,Ann,RIP draw. You will be missed.
OID-088,Gold Standard,5.6,80,Sport,Follow,11-2-2019,y,TID-017,Holcomb Valley Pinnacles,Golden Wall,Elizabeth,
OID-089,Bishops Terrace,5.8,150,Trad,Follow,11-4-2019,y,TID-018,Yosemite NP,Church Bowl,Mark,Very classic. Get here early.
OID-090,The Nutcracker Suite,5.9,500,Trad,Follow,11-4-2019,n,TID-018,Yosemite NP,Manure Pile Buttress,Mark,Bailed on the 5.9 variation's backwards offwidth. Seriously fun climb.
OID-091,Jamcrack,5.8,80,Trad,TR,11-4-2019,y,TID-018,Yosemite NP,Manure Pile Buttress,Mark,Getting ready for trad leading
OID-092,Jamcrack,5.8,80,Trad,Lead,11-4-2019,y,TID-018,Yosemite NP,Sunnyside Bench,Mark,First trad lead!!!!!
OID-093,Jamcrack,5.8,150,Trad,Switching Leads,11-5-2019,y,TID-018,Yosemite NP,Sunnyside Bench,Mark,"P1 lead, P2 follow"
OID-094,Sacherer Cracker,5.10A,150,Trad,Follow,11-5-2019,n,TID-018,Yosemite NP,"Southwest Base, El Capitan",Mark,Grungy offwidth. Learned how to chicken wing.
OID-095,Pine Line,5.7,70,Trad,Lead,11-5-2019,y,TID-018,Yosemite NP,"Southwest Base, El Capitan",Mark,"Nice fingers, a little slippery"
OID-096,Super Slide,5.9,500,Trad,Switch Lead,11-6-2019,y,TID-018,Yosemite NP,Western Royal Arches,Mark,P1 lead. Should have taken the slightly scarier dirty crack up the direct line. P2 - P5 follow. I felt very strong as I wanted to try and make up for lost time on the lead.
OID-097,Swan Slab Gully,5.6,310,Trad,Lead,11-6-2019,y,TID-018,Yosemite NP,Swan Slab,Elizabeth,First multi-pitch lead!!! Careful on the slippery start of P1.
OID-098,Bishops Terrace,5.8,150,Trad,Lead,11-7-2019,y,TID-018,Yosemite NP,Church Bowl,"Mark, Elizabeth","First 5.8 send!!! Wow. Almost lost it in the wide section. Slipped and caught my fall with a left fist jam. No feeling quite like it. Climbed down to the ledge, placed another piece, regained my composure, and sent it!"
OID-099,Catchy,5.10D,100,Trad,Follow,11-7-2019,n,TID-018,Lower Merced River Canyon,Cookie Cliff,"Mark, Elizabeth",Great to work the thin hands and fingers. Getting better at locking off on a finger jam.
OID-100,Outer Limits,5.10B,120,Trad,Follow,11-7-2019,n,TID-018,Lower Merced River Canyon,Cookie Cliff,"Mark, Elizabeth",Probably my favorite climb of the trip. Beautiful hands but sustained the whole way. Great climb to test your endurance 
OID-101,Trial By Fire,5.8,120,Trad,Follow,11-8-2019,n,TID-018,Yosemite NP,Western Royal Arches,"Mark, Elizabeth","More offwidth, low angle. Still not clean send but at least I was a great deal faster than my last off-width."
OID-102,Fiddler On The Roof,5.11,500,Trad,Follow,11-25-2019,n,TID-019,Red Rocks NP,Black Velvet Wall,"Kevin (met at camp prev. night, offered to rope gun)",
OID-103,One Flew Over the Cactus Nest,5.10B,60,Sport,Lead,11-26-2019,n,TID-019,Red Rocks NP,Cactus Massacre,"Ann, Rebecca, Louven",Did not finish. Skipped last 10 ft. Last section had disgusting hands with no feet.
OID-104,Cactus Pete,5.10A,70,Sport,Lead,11-26-2019,y,TID-019,Red Rocks NP,Cactus Massacre,"Ann, Rebecca, Louven",Very fun climb! Helped regain my lead head after bailing off the prev. climb.
OID-105,Smooth as Silk,5.8,80,Trad,TR,12-15-2019,n,TID-020,Joshua Tree NP,Freeway Wall,"Ann, Michelle Cho, Kristi",
OID-106,Thigh Master,5.10A,90,Trad,TR,12-15-2019,n,TID-020,Joshua Tree NP,Freeway Wall,"Ann, Michelle Cho, Kristi",
OID-107,Birdland,5.7+,600,Trad,Follow,12-21-2019,y,TID-021,Red Rocks NP,Pine Creek,"Ann, Mark",
OID-108,Atman,5.10a,40,Trad,Lead,12-22-2019,n,TID-021,Red Rocks NP,Yin & Yang Cliff,"Ann, Mark","Wow so scary, hangdoggin all the way!"
OID-109,Claim Jumpers Special,5.10c,75,Sport,TR,12-22-2019,n,TID-021,Red Rocks NP,Sunny and Steep,"Ann, Mark",
OID-110,Scorpions,5.11a,50,Sport,TR,12-22-2019,n,TID-021,Red Rocks NP,Sunny and Steep,"Ann, Mark",
OID-111,Sail Away,5.8-,60,Trad,Follow,12-28-2019,n,TID-022,Joshua Tree NP,Hidden Tower,"Ann, Michelle, her friend",Icy footholds and freezing hands make sad.
OID-112,Bunny Hop,5.7,40,Sport,Lead,1-11-2020,y,TID-023,Malibu Creek State Park,Toddlers Terrace,"Ann, Adelaide, Justin",
OID-113,Grabnabber,5.8,85,Sport,Lead,1-11-2020,y,TID-023,Malibu Creek State Park,Toddlers Terrace,"Ann, Adelaide, Justin","Belay from above, woo!"
OID-114,Grape Ape,5.9,40,Sport,TR,1-25-2020,n,TID-029,Malibu Creek State Park,Planet of the Apes Wall,"Ann, Noah, Mike",
OID-115,K2,5.9-,40,Sport,Lead,1-25-2020,y,TID-029,Malibu Creek State Park,Mt Gorgeous,"Ann, Noah, Mike",
OID-116,Gorgeous,5.10A,60,Sport,Lead,1-25-2020,y,TID-029,Malibu Creek State Park,Mt Gorgeous,"Ann, Noah, Mike",
OID-117,Double Cross,5.7+,95,Trad,Lead,1-31-2020,y,TID-024,Joshua Tree NP,The Old Woman,Mark,
OID-118,Double Start,5.7,80,Trad,Follow,1-31-2020,n,TID-024,Joshua Tree NP,The Old Woman,Mark,Tried leading it and bailed at the (second) chimney. Need to work on upper boddy strength
OID-119,Toe Jam,5.7,60,Trad,Lead,1-31-2020,y,TID-024,Joshua Tree NP,The Old Woman,Mark,
OID-120,Left Ski Track,5.11A,160,Trad,Follow,1-31-2020,n,TID-024,Joshua Tree NP,Intersection Rock,Mark,Fell SO many times just to get past the bottom
OID-121,Step Across,5.10A,85,Sport,Lead,2-2-2020,y,TID-025,New Jack City,Raven Rocks,"Rebecca, Marty",
OID-122,Rob's Rambunctious Ride,5.9,75,Sport,Lead,2-2-2020,n,TID-025,New Jack City,Raven Rocks,"Rebecca, Marty",Has a weird secion where the route becomes confusing. The way that I chose had a tough undercling but eases up quickly.
OID-123,Welcome to New Jack City,5.10A,60,Sport,TR,2-2-2020,n,TID-025,New Jack City,Raven Rocks,"Rebecca, Marty",
OID-124,Espresso,5.10C,35,Sport,TR,2-2-2020,n,TID-025,New Jack City,Raven Rocks,"Rebecca, Marty",
OID-125,Route 66,5.9+,65,Sport,Lead,2-2-2020,y,TID-025,New Jack City,Raven Rocks,"Rebecca, Marty",
OID-126,Candy O,5.11B,68,Sport,TR,2-2-2020,n,TID-025,New Jack City,Raven Rocks,"Rebecca, Marty",
OID-127,Descending Opinion,5.11A,60,Sport,TR,2-2-2020,n,TID-025,New Jack City,Raven Rocks,"Rebecca, Marty",
OID-128,Atman,5.10a,40,Trad,TR,2-6-2020,y,TID-026,Red Rocks NP,Yin & Yang Cliff,Mark,
OID-129,Claim Jumpers Special,5.10C,75,Sport,Lead,2-6-2020,n,TID-026,Red Rocks NP,Sunny and Steep,Mark,
OID-130,Turtle Wax,5.11B,50,Sport,TR,2-6-2020,n,TID-026,Red Rocks NP,Sunny and Steep,Mark,
OID-131,Group Therapy,5.7,755,Trad,Lead,2-7-2020,n,TID-026,Red Rocks NP,Angel Food Wall,Mark,Lead all but the chimney pitch. READ THE TOPO
OID-132,Straight Shooter,5.9+,60,Trad,TR,2-8-2020,n,TID-026,Red Rocks NP,Straight Shooter Wall,Mark,Thin fingers!!!
OID-133,Sidewinder,5.11,40,Sport,TR,2-8-2020,n,TID-026,Red Rocks NP,Straight Shooter Wall,Mark,Halfway there
OID-134,Freak Out,5.7,60,Trad,Lead,2-8-2020,y,TID-026,Red Rocks NP,Straight Shooter Wall,Mark,Almost bailed! PG13
OID-135,Straight Shooter,C1,60,Aid,Lead,2-8-2020,y,TID-026,Red Rocks NP,Straight Shooter Wall,Mark,First aid climb! 40 minutes is my record to beat.
OID-136,Bonaire,5.9,80,Sport,Lead,2-9-2020,y,TID-026,Red Rocks NP,Black Corridor,Mark,
OID-137,Bon Ez,5.9+,80,Sport,Lead,2-9-2020,y,TID-026,Red Rocks NP,Black Corridor,Mark,
OID-138,Vagabonds,5.10A,70,Sport,Lead,2-9-2020,y,TID-026,Red Rocks NP,Black Corridor,Mark,
OID-139,Crude Boys,5.10D,50,Sport,TR,2-9-2020,n,TID-026,Red Rocks NP,Black Corridor,Mark,
OID-140,The De-Nogginizer,5.11A,75,Sport,TR,2-9-2020,n,TID-026,Red Rocks NP,Hunter S. Thompson Dome,Mark,Very fun. Just need to increase crimp strength to work a bad crimp crux at the bottom.
OID-141,Abitafun,5.9,105,Sport,Lead,2-15-2020,y,TID-027,Owens River Gorge,Pub Wall,Ann,Tough bottom section. Blew the flash and onsite lol.
OID-142,Abitarot,5.10A,95,Sport,Lead,2-15-2020,n,TID-027,Owens River Gorge,Pub Wall,Ann,Gets real pumpy at the top!
OID-143,Road To Cala Gonone,5.9,95,Sport,Lead,2-16-2020,y,TID-027,Owens River Gorge,Gorgeous Towers,Ann,"Chossy and scary at the bottom, fun up top!"
OID-144,Wacked Scenario,5.10B,125,Sport,TR,2-16-2020,n,TID-027,Owens River Gorge,Gorgeous Towers,"Ann, Vladimir","Popped out at the wide section, gotta train my wide skillz!"
OID-145,Lava Haul,5.10A,110,Sport,Lead,2-16-2020,n,TID-027,Owens River Gorge,Gorgeous Towers,Ann,Blew a foot on the techie slab. Nice pump fighting at the top. So fun!!
OID-146,Route 66,5.9+,65,Sport,Lead,2-19-2020,n,TID-028,New Jack City,Raven Rocks,Mark,"Five lead falls! The top section requies me to really work the beta. Use jugs to move onto a rail. Left hand finds a jam, move up right foot. Right hand moves up to a jug. Left foot moves up, left hand can move up. Beta: right foot should move up to a scoop right underneath the bolt. Gives better purchase for slotting the left hand into a pocket jug (slopey if not far in enough). Jugs on top for better clipping into anchors."
OID-147,Welcome to New Jack City,5.10A,60,Sport,TR,2-19-2020,y,TID-028,New Jack City,Raven Rocks,Mark,Probably can lead this now. Terrible hands on top for anchor work.
OID-148,Step Across,5.10A,85,Sport,Lead,2-19-2020,y,TID-028,New Jack City,Raven Rocks,Mark,
OID-149,Love Onsite,5.10C,65,Sport,TR,2-19-2020,n,TID-028,New Jack City,Raven Rocks,Mark,Fall at beginning and at mid/end. A bit delicate but I can work it.
OID-150,Rob's Rambunctious Ride,5.9,75,Sport,TR,2-19-2020,y,TID-028,New Jack City,Raven Rocks,Mark,Footwork getting to the undercling is ... strange.
OID-151,Espresso,5.10C,10,Sport,TR,2-19-2020,n,TID-028,New Jack City,Raven Rocks,Mark,Got humbled by the footwork here. Not strong enough to make it through the bouldery crux.
OID-152,Sophie's Choice,5.10A,30,Sport,Lead,2-19-2020,y,TID-028,New Jack City,The Pinnacle,Mark,"Can't reach second clip, had to awkwardly do it from above."
OID-153,Ten For Two,5.8,60,Sport,Lead,1-18-2020,y,TID-030 ,Lone Mountain,Suburban Crag,Ann,
OID-154,NLV,5.10B,60,Sport,Lead,1-18-2020,n,TID-030 ,Lone Mountain,Suburban Crag,Ann,"Needed to work a middle section, probably could do with more strength for gripping a bad hold high up left."
